Program_ID,Program_Name,Description
P101,M.Sc. Data Science & AI,"Focuses on machine learning, deep learning, Python, neural networks, and advanced data analytics."
P102,M.A. Journalism,"Advanced writing, investigative reporting, media ethics, and digital mass communication."
P103,M.Sc. Software Engineering,"System architecture, cloud computing, backend development, algorithms, and scalable enterprise systems."
P104,M.Sc. Bioinformatics,"Intersection of biology and data, computational genomics, molecular modeling, and medical data analysis."
P105,M.Sc. Civil & Environmental Engineering,"Advanced structural engineering, fluid mechanics, geospatial analysis, and sustainable infrastructure."
P106,M.B.A. Business Administration,"Strategic management, corporate finance, organizational leadership, and global marketing."
P107,M.Sc. Cybersecurity,"Network security, cryptography, ethical hacking, and information risk management."
P108,M.A. Graphic Design & UI/UX,"User interface design, visual communication, digital media arts, and human-computer interaction."
P109,M.Sc. Mechanical Engineering,"Thermodynamics, robotics, automated manufacturing, and materials science."
P110,M.Sc. Quantitative Finance,"Risk management, financial modeling, stochastic calculus, and algorithmic trading."
P111,M.A. Clinical Psychology,"Cognitive behavioral therapy, clinical research, mental health diagnostics, and counseling."
P112,M.Sc. Health Informatics,"Healthcare data management, electronic medical records, and medical IT systems."
