Date,Transaction_ID,Student_ID,Amount,Method,Type
2023-03-20,TXN_0079,STD_079,1513.7641164803254,Bank Transfer,Tuition Fee
2023-03-12,TXN_0071,STD_071,1554.2093408262622,Bank Transfer,Tuition Fee
2023-04-06,TXN_0096,STD_096,1280.4727577801823,Bank Transfer,Tuition Fee
2023-03-04,TXN_0063,STD_063,1334.0497538990958,Credit Card,Bus Fee
2023-01-06,TXN_0006,STD_006,1464.8794564576228,Bank Transfer,Tuition Fee
2023-01-15,TXN_0015,STD_015,1241.262325123045,Bank Transfer,Tuition Fee
2023-07-01,TXN_9003,STD_777,5.0,Credit Card,Bus Fee
2023-03-05,TXN_0064,STD_064,1320.5690063878994,Bank Transfer,Tuition Fee
2023-02-07,TXN_0038,STD_038,1206.0494814180338,Bank Transfer,Tuition Fee
2023-01-14,TXN_0014,STD_014,1213.0079633013304,Bank Transfer,Tuition Fee
2023-04-09,TXN_0099,STD_099,1500.7670184963692,Credit Card,Tuition Fee
2023-03-09,TXN_0068,STD_068,1650.5299346838037,Credit Card,Tuition Fee
2023-01-28,TXN_0028,STD_028,1556.3547027518507,Credit Card,Tuition Fee
2023-01-20,TXN_0020,STD_020,1288.1544447997062,Bank Transfer,Bus Fee
2023-02-11,TXN_0042,STD_042,1525.7052421784956,Bank Transfer,Bus Fee
2023-02-05,TXN_0036,STD_036,1316.8734525043467,Credit Card,Tuition Fee
2023-01-22,TXN_0022,STD_022,1466.1335549270198,Bank Transfer,Tuition Fee
2023-01-18,TXN_0018,STD_018,1547.137099889291,Bank Transfer,Bus Fee
2023-01-27,TXN_0027,STD_027,1327.3509633866545,Bank Transfer,Bus Fee
2023-03-15,TXN_0074,STD_074,1734.696548372101,Credit Card,Tuition Fee
2023-02-14,TXN_0045,STD_045,1278.2217014448859,Bank Transfer,Tuition Fee
2023-02-22,TXN_0053,STD_053,1398.4616999541063,Credit Card,Tuition Fee
2023-02-28,TXN_0059,STD_059,1549.6895147105347,Bank Transfer,Tuition Fee
2023-01-09,TXN_0009,STD_009,1429.5788421097573,Bank Transfer,Tuition Fee
2023-01-05,TXN_0005,STD_005,1464.8769937914997,Credit Card,Tuition Fee
2023-03-28,TXN_0087,STD_087,1637.310317655311,Bank Transfer,Tuition Fee
2023-02-18,TXN_0049,STD_049,1551.5427434352691,Credit Card,Tuition Fee
2023-01-30,TXN_0030,STD_030,1456.2459375310084,Credit Card,Tuition Fee
2023-01-21,TXN_0021,STD_021,1719.847315338233,Credit Card,Tuition Fee
2023-01-25,TXN_0025,STD_025,1418.3425913212227,Credit Card,Tuition Fee
2023-03-30,TXN_0089,STD_089,1420.5359694349443,Bank Transfer,Tuition Fee
2023-03-11,TXN_0070,STD_070,1403.2320368092314,Credit Card,Tuition Fee
2023-02-10,TXN_0041,STD_041,1610.7699869993116,Bank Transfer,Bus Fee
2023-01-11,TXN_0011,STD_011,1430.4873460781307,Credit Card,Bus Fee
2023-03-16,TXN_0075,STD_075,1107.0382343865383,Bank Transfer,Tuition Fee
2023-01-07,TXN_0007,STD_007,1736.8819223261087,Bank Transfer,Tuition Fee
2023-03-23,TXN_0082,STD_082,1553.566885726762,Bank Transfer,Tuition Fee
2023-02-25,TXN_0056,STD_056,1639.6920178674297,Bank Transfer,Tuition Fee
2023-02-24,TXN_0055,STD_055,1654.6499283743926,Bank Transfer,Tuition Fee
2023-02-23,TXN_0054,STD_054,1591.7514433261301,Credit Card,Tuition Fee
2023-03-22,TXN_0081,STD_081,1467.0492168243732,Bank Transfer,Tuition Fee
2023-01-08,TXN_0008,STD_008,1615.1152093729363,Credit Card,Tuition Fee
2023-01-26,TXN_0026,STD_026,1516.63838845648,Bank Transfer,Tuition Fee
2023-01-17,TXN_0017,STD_017,1348.0753319498365,Bank Transfer,Tuition Fee
